user_id,feedback_type,severity,sentiment,feature_area,resolved,created_date
1600,Bug,Medium,Negative,Grocery List AI,1,2025-11-25
3363,AI Accuracy,High,Negative,Meal Recommendation AI,1,2025-10-13
3061,Bug,Low,Negative,Scheduling AI,0,2026-01-21
1241,AI Accuracy,Low,Positive,Grocery List AI,0,2025-08-24
3041,Feature Request,Medium,Negative,Scheduling AI,0,2025-11-14
3824,UX Issue,Low,Negative,Meal Recommendation AI,0,2025-12-28
3612,Bug,Low,Neutral,Scheduling AI,1,2025-09-24
2363,Bug,High,Negative,Meal Recommendation AI,1,2025-12-10
2478,Feature Request,Low,Neutral,Meal Recommendation AI,0,2025-11-05
3556,Feature Request,Medium,Negative,Meal Recommendation AI,1,2025-11-16
1775,AI Accuracy,Low,Positive,Meal Recommendation AI,1,2025-09-11
5014,AI Accuracy,Low,Negative,Scheduling AI,0,2025-10-01
1034,UX Issue,Low,Positive,Meal Recommendation AI,1,2025-08-30
4152,AI Accuracy,High,Negative,Meal Recommendation AI,1,2025-11-22
2955,Feature Request,Low,Positive,Scheduling AI,1,2025-11-18
2585,AI Accuracy,High,Positive,Grocery List AI,0,2026-01-26
4943,Bug,Low,Neutral,Scheduling AI,1,2025-10-21
4073,UX Issue,High,Negative,Scheduling AI,1,2025-11-10
2021,Feature Request,Low,Positive,Scheduling AI,0,2025-11-30
4461,AI Accuracy,High,Positive,Meal Recommendation AI,0,2025-12-05
3613,Bug,Medium,Negative,Meal Recommendation AI,0,2025-09-27
4843,Bug,High,Neutral,Meal Recommendation AI,1,2025-09-12
2500,UX Issue,Low,Negative,Grocery List AI,0,2025-09-05
5798,UX Issue,Low,Positive,Meal Recommendation AI,1,2025-10-21
1161,Feature Request,Low,Negative,Grocery List AI,0,2025-09-10
5297,AI Accuracy,High,Positive,Meal Recommendation AI,0,2025-11-04
2981,UX Issue,Medium,Positive,Scheduling AI,0,2025-11-11
1995,UX Issue,High,Negative,Meal Recommendation AI,0,2025-08-11
5911,AI Accuracy,Low,Negative,Grocery List AI,0,2025-10-07
4342,UX Issue,Low,Negative,Grocery List AI,1,2025-11-18
5551,AI Accuracy,Low,Neutral,Meal Recommendation AI,0,2026-01-26
4798,AI Accuracy,High,Neutral,Scheduling AI,0,2025-09-09
2275,AI Accuracy,High,Neutral,Meal Recommendation AI,0,2026-01-07
2016,Bug,High,Negative,Meal Recommendation AI,1,2025-11-01
1337,UX Issue,Low,Neutral,Meal Recommendation AI,1,2026-01-26
1878,Bug,Medium,Neutral,Scheduling AI,1,2026-01-23
2076,UX Issue,High,Neutral,Grocery List AI,1,2025-12-20
5887,AI Accuracy,Low,Negative,Scheduling AI,0,2025-09-07
4993,UX Issue,High,Neutral,Grocery List AI,0,2025-12-17
5859,UX Issue,High,Negative,Grocery List AI,0,2025-09-26
1379,AI Accuracy,High,Neutral,Grocery List AI,0,2025-10-12
1492,UX Issue,High,Negative,Scheduling AI,1,2025-10-15
3062,AI Accuracy,Low,Positive,Meal Recommendation AI,0,2025-11-12
4884,UX Issue,Low,Negative,Meal Recommendation AI,0,2025-12-14
1064,Feature Request,High,Negative,Meal Recommendation AI,0,2025-09-28
3568,AI Accuracy,Low,Positive,Meal Recommendation AI,1,2025-11-29
3027,AI Accuracy,High,Negative,Meal Recommendation AI,1,2025-11-18
3695,Feature Request,High,Neutral,Scheduling AI,0,2025-12-10
2495,UX Issue,Medium,Negative,Scheduling AI,0,2025-10-31
1391,AI Accuracy,High,Negative,Scheduling AI,1,2025-09-23
5514,Bug,Low,Neutral,Scheduling AI,1,2025-09-11
5474,AI Accuracy,Low,Positive,Scheduling AI,0,2025-08-17
4561,Feature Request,Low,Neutral,Scheduling AI,0,2025-12-04
3278,Bug,Medium,Positive,Scheduling AI,1,2025-12-02
4099,AI Accuracy,Low,Positive,Meal Recommendation AI,1,2025-12-28
1200,AI Accuracy,Low,Positive,Grocery List AI,0,2025-10-19
5875,AI Accuracy,High,Neutral,Scheduling AI,1,2026-01-10
4104,AI Accuracy,High,Negative,Grocery List AI,1,2025-08-17
5598,AI Accuracy,Low,Positive,Scheduling AI,1,2026-01-24
3454,Feature Request,Low,Positive,Scheduling AI,1,2025-09-08
4645,AI Accuracy,High,Negative,Meal Recommendation AI,1,2025-11-20
1804,UX Issue,Low,Positive,Grocery List AI,0,2025-09-16
3731,Bug,Low,Positive,Meal Recommendation AI,1,2025-11-11
3773,Feature Request,Low,Positive,Meal Recommendation AI,0,2026-01-06
2570,UX Issue,Medium,Negative,Grocery List AI,1,2025-08-17
3690,AI Accuracy,Low,Negative,Meal Recommendation AI,0,2025-08-23
4840,UX Issue,High,Neutral,Scheduling AI,1,2025-08-19
2028,UX Issue,Medium,Negative,Scheduling AI,0,2025-12-15
1502,UX Issue,Medium,Neutral,Scheduling AI,0,2025-12-04
5493,AI Accuracy,Low,Negative,Scheduling AI,0,2025-10-08
1870,Bug,Medium,Negative,Scheduling AI,1,2025-10-23
5488,UX Issue,High,Negative,Meal Recommendation AI,1,2025-08-27
1206,AI Accuracy,High,Neutral,Meal Recommendation AI,1,2025-12-28
2484,UX Issue,High,Positive,Scheduling AI,0,2025-12-26
1863,UX Issue,Medium,Neutral,Scheduling AI,0,2025-10-07
3790,Feature Request,High,Negative,Meal Recommendation AI,1,2025-10-20
1563,Feature Request,High,Negative,Grocery List AI,1,2025-08-24
5191,Feature Request,High,Negative,Meal Recommendation AI,1,2025-12-02
2757,AI Accuracy,Low,Negative,Meal Recommendation AI,1,2025-10-10
2678,UX Issue,Low,Positive,Meal Recommendation AI,1,2025-11-18
4242,UX Issue,Low,Negative,Meal Recommendation AI,0,2025-08-29
5636,AI Accuracy,High,Negative,Meal Recommendation AI,1,2026-01-28
2059,AI Accuracy,Medium,Negative,Grocery List AI,1,2025-10-31
2722,Feature Request,Medium,Negative,Scheduling AI,1,2026-01-18
4314,AI Accuracy,High,Negative,Scheduling AI,1,2025-08-16
4157,UX Issue,High,Positive,Grocery List AI,0,2025-11-01
3625,AI Accuracy,High,Negative,Scheduling AI,0,2026-01-03
3729,AI Accuracy,Low,Positive,Scheduling AI,0,2026-01-31
2597,AI Accuracy,High,Negative,Scheduling AI,0,2025-10-01
4060,Bug,Low,Negative,Grocery List AI,1,2025-11-23
3693,Feature Request,Low,Neutral,Grocery List AI,1,2025-10-02
5891,Bug,Low,Negative,Scheduling AI,0,2025-08-25
4627,UX Issue,Low,Neutral,Scheduling AI,0,2025-09-07
2363,AI Accuracy,Medium,Neutral,Scheduling AI,1,2025-08-21
2981,UX Issue,High,Neutral,Meal Recommendation AI,1,2026-01-31
2663,UX Issue,Low,Negative,Meal Recommendation AI,0,2026-01-02
2529,Feature Request,High,Negative,Meal Recommendation AI,1,2026-01-12
3038,AI Accuracy,Medium,Negative,Grocery List AI,0,2025-09-13
4302,UX Issue,Low,Positive,Scheduling AI,0,2025-11-02
3237,AI Accuracy,Medium,Negative,Grocery List AI,0,2025-11-26
2306,AI Accuracy,Low,Negative,Grocery List AI,0,2025-11-05
5029,Feature Request,Medium,Neutral,Grocery List AI,0,2025-10-03
3675,UX Issue,Medium,Positive,Scheduling AI,1,2026-01-14
2282,UX Issue,Low,Neutral,Meal Recommendation AI,1,2026-01-21
1709,UX Issue,Low,Negative,Scheduling AI,0,2025-10-27
5744,UX Issue,Medium,Negative,Scheduling AI,0,2026-01-21
5413,Feature Request,High,Negative,Grocery List AI,0,2025-09-05
4748,Bug,Low,Neutral,Grocery List AI,1,2025-12-14
5779,Bug,High,Negative,Grocery List AI,1,2025-09-09
1663,Feature Request,High,Positive,Meal Recommendation AI,0,2025-10-26
2998,AI Accuracy,High,Neutral,Meal Recommendation AI,0,2025-10-15
4445,Feature Request,High,Negative,Meal Recommendation AI,1,2026-01-04
4743,UX Issue,Medium,Positive,Scheduling AI,1,2026-01-15
2495,AI Accuracy,High,Negative,Grocery List AI,0,2025-08-17
4304,Feature Request,High,Positive,Scheduling AI,1,2025-11-14
4763,AI Accuracy,Low,Negative,Meal Recommendation AI,1,2026-01-22
2853,Bug,Low,Neutral,Grocery List AI,0,2026-01-21
5659,UX Issue,Low,Negative,Meal Recommendation AI,0,2025-09-10
2291,UX Issue,High,Positive,Grocery List AI,0,2026-01-02
4581,Feature Request,High,Positive,Grocery List AI,1,2025-08-25
4457,Bug,Low,Negative,Scheduling AI,1,2025-11-14
2636,UX Issue,Medium,Neutral,Scheduling AI,1,2026-01-27
4696,UX Issue,Medium,Negative,Meal Recommendation AI,1,2025-08-31
3999,AI Accuracy,Low,Negative,Scheduling AI,1,2025-11-20
4152,UX Issue,High,Positive,Scheduling AI,1,2025-08-26
1698,AI Accuracy,Low,Neutral,Scheduling AI,1,2025-09-17
3160,Feature Request,Low,Negative,Grocery List AI,0,2025-08-15
5097,UX Issue,Medium,Negative,Scheduling AI,0,2026-01-27
5737,Feature Request,High,Negative,Meal Recommendation AI,1,2025-12-31
1854,AI Accuracy,Low,Neutral,Grocery List AI,1,2025-10-11
4474,AI Accuracy,High,Negative,Grocery List AI,0,2026-02-02
2707,Feature Request,Medium,Positive,Scheduling AI,1,2026-01-17
3777,AI Accuracy,Low,Negative,Grocery List AI,1,2025-09-02
2733,AI Accuracy,Low,Negative,Meal Recommendation AI,0,2026-01-13
5931,AI Accuracy,Medium,Positive,Meal Recommendation AI,1,2025-10-24
4510,Bug,Low,Neutral,Grocery List AI,0,2025-09-23
1202,Feature Request,High,Positive,Scheduling AI,1,2025-10-23
4255,UX Issue,High,Neutral,Scheduling AI,0,2025-09-16
5218,AI Accuracy,High,Negative,Grocery List AI,1,2025-12-21
5496,AI Accuracy,Low,Neutral,Meal Recommendation AI,0,2025-09-15
1766,Feature Request,High,Positive,Grocery List AI,0,2026-01-21
5389,Feature Request,Medium,Neutral,Scheduling AI,1,2025-12-16
3327,AI Accuracy,Low,Negative,Scheduling AI,0,2025-10-18
3931,AI Accuracy,Low,Negative,Grocery List AI,0,2026-01-28
1197,AI Accuracy,Low,Neutral,Meal Recommendation AI,0,2025-11-28
2930,Feature Request,High,Positive,Grocery List AI,1,2025-08-10
4582,Feature Request,Medium,Negative,Meal Recommendation AI,1,2025-12-04
1608,AI Accuracy,Low,Negative,Meal Recommendation AI,0,2025-11-29
4272,AI Accuracy,Medium,Neutral,Grocery List AI,1,2025-09-14
2147,AI Accuracy,Low,Positive,Grocery List AI,1,2025-09-06
5282,Bug,Medium,Positive,Meal Recommendation AI,1,2026-01-30
4397,AI Accuracy,Low,Positive,Meal Recommendation AI,0,2025-10-09
3511,Feature Request,High,Negative,Meal Recommendation AI,1,2025-12-10
2794,UX Issue,High,Negative,Meal Recommendation AI,0,2026-01-05
1659,UX Issue,Medium,Neutral,Scheduling AI,0,2026-01-30
3811,AI Accuracy,Low,Negative,Grocery List AI,0,2025-09-01
2369,AI Accuracy,Low,Neutral,Meal Recommendation AI,1,2025-11-30
2986,UX Issue,High,Negative,Grocery List AI,0,2025-09-27
1146,Feature Request,Low,Negative,Meal Recommendation AI,1,2025-09-02
4219,UX Issue,Low,Positive,Grocery List AI,0,2025-11-23
3911,UX Issue,Low,Neutral,Grocery List AI,0,2025-10-14
2734,AI Accuracy,Medium,Negative,Meal Recommendation AI,0,2025-10-31
2843,Bug,Medium,Positive,Meal Recommendation AI,0,2025-08-13
1488,Feature Request,High,Neutral,Grocery List AI,0,2025-11-17
3976,AI Accuracy,Low,Neutral,Grocery List AI,0,2025-10-05
2959,Bug,Low,Negative,Grocery List AI,0,2025-09-20
3385,UX Issue,High,Neutral,Scheduling AI,0,2026-01-03
3919,UX Issue,High,Negative,Meal Recommendation AI,0,2025-09-18
5736,Feature Request,Low,Neutral,Scheduling AI,0,2025-12-23
2802,Feature Request,Medium,Negative,Scheduling AI,1,2026-01-23
5061,Feature Request,Low,Negative,Meal Recommendation AI,1,2025-09-06
4369,AI Accuracy,High,Negative,Meal Recommendation AI,1,2025-08-17
1262,AI Accuracy,Low,Neutral,Scheduling AI,0,2025-12-10
1623,Bug,High,Negative,Meal Recommendation AI,1,2025-11-01
2016,AI Accuracy,High,Negative,Grocery List AI,1,2025-09-14
4643,UX Issue,Medium,Neutral,Grocery List AI,0,2025-10-19
5976,UX Issue,Low,Positive,Scheduling AI,0,2025-10-08
3049,UX Issue,Medium,Positive,Scheduling AI,0,2025-10-28
4723,UX Issue,Medium,Positive,Meal Recommendation AI,0,2025-09-09
5548,Bug,Low,Negative,Meal Recommendation AI,0,2025-10-17
4108,AI Accuracy,High,Positive,Scheduling AI,1,2025-12-16
5090,AI Accuracy,High,Positive,Scheduling AI,0,2026-01-15
3056,AI Accuracy,Medium,Negative,Grocery List AI,1,2025-12-07
4170,Bug,High,Neutral,Grocery List AI,0,2025-08-10
2682,UX Issue,Low,Neutral,Meal Recommendation AI,0,2026-01-15
3255,AI Accuracy,Medium,Positive,Grocery List AI,1,2025-10-21
2154,Feature Request,Low,Negative,Meal Recommendation AI,1,2025-10-02
5499,Bug,Medium,Negative,Meal Recommendation AI,0,2025-09-24
4191,Feature Request,High,Negative,Meal Recommendation AI,1,2025-11-24
2696,Bug,High,Neutral,Grocery List AI,1,2025-11-21
4991,AI Accuracy,Low,Negative,Scheduling AI,0,2025-11-19
5723,Feature Request,Low,Positive,Scheduling AI,0,2025-09-24
5682,UX Issue,Medium,Positive,Grocery List AI,1,2025-12-02
2648,Feature Request,Medium,Positive,Scheduling AI,0,2025-11-11
2445,Feature Request,High,Negative,Meal Recommendation AI,0,2026-01-02
5199,Feature Request,High,Neutral,Scheduling AI,0,2025-12-11
4923,Feature Request,Medium,Neutral,Grocery List AI,0,2025-11-22
1253,AI Accuracy,Low,Positive,Scheduling AI,1,2026-02-02
4183,UX Issue,Low,Neutral,Meal Recommendation AI,0,2025-08-19
3557,Bug,Low,Negative,Meal Recommendation AI,1,2026-01-30
1098,Bug,Low,Neutral,Grocery List AI,0,2026-01-30
3200,AI Accuracy,Medium,Negative,Grocery List AI,0,2025-09-10
3961,AI Accuracy,High,Positive,Grocery List AI,0,2025-09-09
5973,AI Accuracy,High,Negative,Meal Recommendation AI,1,2026-02-03
5433,Feature Request,Low,Negative,Scheduling AI,1,2025-11-07
4777,Feature Request,Low,Positive,Scheduling AI,0,2025-12-11
3869,AI Accuracy,Low,Positive,Grocery List AI,0,2025-11-01
4234,UX Issue,Low,Negative,Scheduling AI,1,2026-01-26
4791,Feature Request,High,Negative,Scheduling AI,1,2025-11-10
1956,Feature Request,Low,Neutral,Grocery List AI,0,2025-11-27
5067,UX Issue,Medium,Neutral,Grocery List AI,1,2025-09-07
1160,UX Issue,Low,Negative,Meal Recommendation AI,1,2025-10-15
5493,UX Issue,High,Negative,Meal Recommendation AI,0,2026-01-06
2300,AI Accuracy,Medium,Neutral,Meal Recommendation AI,0,2025-09-30
5911,UX Issue,Low,Neutral,Meal Recommendation AI,0,2025-11-19
4987,Feature Request,Medium,Positive,Scheduling AI,1,2025-08-24
2527,Bug,High,Negative,Scheduling AI,1,2025-12-12
2218,UX Issue,High,Neutral,Meal Recommendation AI,0,2025-12-18
5496,Feature Request,Low,Negative,Meal Recommendation AI,0,2026-01-02
5735,AI Accuracy,High,Neutral,Grocery List AI,0,2025-10-23
4104,UX Issue,High,Neutral,Scheduling AI,1,2025-08-17
3735,AI Accuracy,High,Negative,Scheduling AI,0,2026-01-14
5555,AI Accuracy,Medium,Negative,Meal Recommendation AI,0,2026-01-05
1954,Feature Request,Medium,Negative,Scheduling AI,0,2025-09-23
5565,Bug,Medium,Neutral,Grocery List AI,0,2025-10-23
4446,AI Accuracy,High,Negative,Grocery List AI,0,2025-09-09
2045,UX Issue,Medium,Negative,Scheduling AI,0,2026-01-20
2693,Feature Request,High,Neutral,Meal Recommendation AI,0,2026-01-16
4436,AI Accuracy,Medium,Positive,Scheduling AI,1,2025-12-24
1562,UX Issue,High,Neutral,Grocery List AI,0,2025-08-17
3485,Feature Request,High,Positive,Meal Recommendation AI,0,2025-12-20
4354,UX Issue,Low,Negative,Scheduling AI,1,2025-10-14
1225,AI Accuracy,High,Neutral,Meal Recommendation AI,0,2026-01-17
5893,UX Issue,Medium,Negative,Meal Recommendation AI,1,2025-12-19
1959,Feature Request,High,Neutral,Grocery List AI,0,2025-09-19
5548,UX Issue,Medium,Negative,Meal Recommendation AI,0,2025-09-01
4067,AI Accuracy,Low,Neutral,Scheduling AI,0,2025-12-22
1815,Feature Request,High,Positive,Meal Recommendation AI,0,2025-08-25
5754,AI Accuracy,Low,Neutral,Meal Recommendation AI,1,2025-08-13
5642,Feature Request,High,Positive,Scheduling AI,0,2025-11-10
4120,AI Accuracy,Medium,Negative,Grocery List AI,0,2026-01-21
1016,Bug,Medium,Neutral,Grocery List AI,0,2025-10-18
2243,UX Issue,Low,Negative,Scheduling AI,0,2025-08-17
3205,AI Accuracy,Medium,Positive,Scheduling AI,0,2025-11-01
3524,AI Accuracy,Low,Positive,Grocery List AI,0,2025-08-21
2069,AI Accuracy,Low,Neutral,Meal Recommendation AI,0,2025-10-26
4444,Bug,Low,Negative,Scheduling AI,1,2025-11-11
3565,Bug,Low,Negative,Meal Recommendation AI,0,2025-09-16
2060,UX Issue,High,Neutral,Scheduling AI,1,2025-11-16
3327,UX Issue,High,Neutral,Grocery List AI,1,2025-12-16
4420,Feature Request,Low,Positive,Meal Recommendation AI,0,2025-10-16
1301,Bug,High,Negative,Meal Recommendation AI,1,2026-01-21
5276,UX Issue,Low,Negative,Scheduling AI,1,2025-12-02
1606,UX Issue,High,Neutral,Meal Recommendation AI,0,2025-11-09
4170,UX Issue,High,Negative,Scheduling AI,1,2025-11-21
1699,Feature Request,High,Positive,Grocery List AI,0,2026-01-26
2139,AI Accuracy,Medium,Negative,Meal Recommendation AI,0,2025-12-25
1190,UX Issue,High,Positive,Scheduling AI,1,2025-11-02
3300,UX Issue,Low,Negative,Meal Recommendation AI,0,2026-01-25
1980,Feature Request,High,Positive,Scheduling AI,0,2025-10-10
3975,AI Accuracy,Low,Negative,Scheduling AI,0,2025-09-14
2184,UX Issue,Medium,Negative,Scheduling AI,1,2025-10-03
4327,UX Issue,High,Negative,Grocery List AI,1,2025-11-19
4394,UX Issue,High,Negative,Meal Recommendation AI,1,2025-09-11
1127,AI Accuracy,Low,Negative,Grocery List AI,1,2025-08-30
3065,UX Issue,High,Positive,Scheduling AI,0,2025-11-07
2816,UX Issue,Low,Neutral,Scheduling AI,0,2026-01-28
1569,UX Issue,Medium,Positive,Grocery List AI,1,2025-09-06
2895,UX Issue,Low,Negative,Grocery List AI,1,2025-09-22
3733,Feature Request,Low,Neutral,Meal Recommendation AI,0,2025-10-17
4863,Feature Request,Medium,Negative,Scheduling AI,0,2025-08-13
5721,AI Accuracy,Medium,Negative,Grocery List AI,1,2025-08-31
5014,Feature Request,Low,Positive,Scheduling AI,1,2025-12-09
3901,UX Issue,Low,Positive,Scheduling AI,1,2025-11-11
2686,AI Accuracy,Medium,Neutral,Meal Recommendation AI,0,2025-12-12
4009,AI Accuracy,High,Neutral,Meal Recommendation AI,1,2025-10-06
1154,AI Accuracy,High,Positive,Meal Recommendation AI,1,2025-10-20
3537,Feature Request,Low,Positive,Grocery List AI,0,2025-12-19
2409,Feature Request,Low,Negative,Scheduling AI,1,2025-09-26
5057,Feature Request,Low,Negative,Grocery List AI,1,2025-08-24
1784,UX Issue,Low,Neutral,Grocery List AI,1,2025-09-22
4175,UX Issue,High,Neutral,Meal Recommendation AI,1,2025-09-29
5341,AI Accuracy,Medium,Positive,Scheduling AI,1,2025-12-20
3806,AI Accuracy,Low,Negative,Scheduling AI,1,2026-01-31
1537,UX Issue,Low,Negative,Meal Recommendation AI,0,2025-08-11
2841,AI Accuracy,Low,Positive,Scheduling AI,1,2026-01-12
3455,AI Accuracy,High,Positive,Meal Recommendation AI,1,2025-08-14
1524,UX Issue,High,Negative,Grocery List AI,1,2026-01-18
3950,Feature Request,Low,Negative,Grocery List AI,0,2025-11-13
5131,Bug,Low,Positive,Meal Recommendation AI,1,2025-09-02
5780,Bug,High,Negative,Grocery List AI,0,2026-01-31
5115,UX Issue,High,Neutral,Grocery List AI,1,2026-01-06
3368,UX Issue,Medium,Neutral,Meal Recommendation AI,1,2026-02-04
4847,UX Issue,Low,Negative,Grocery List AI,0,2025-11-11
5495,Feature Request,Low,Negative,Scheduling AI,0,2025-11-15
3701,AI Accuracy,Medium,Neutral,Grocery List AI,0,2025-08-15
1971,UX Issue,Low,Negative,Meal Recommendation AI,0,2025-11-28
2166,Feature Request,Low,Neutral,Scheduling AI,1,2026-01-05
5929,UX Issue,Medium,Negative,Scheduling AI,0,2025-11-06
3774,UX Issue,Low,Neutral,Grocery List AI,0,2025-11-04
2982,UX Issue,High,Negative,Scheduling AI,0,2025-10-01
1853,AI Accuracy,Low,Negative,Meal Recommendation AI,0,2025-09-02
5146,UX Issue,Low,Positive,Scheduling AI,1,2026-01-20
4736,AI Accuracy,Medium,Negative,Grocery List AI,0,2025-12-13
4769,AI Accuracy,Low,Negative,Grocery List AI,1,2025-09-18
1574,AI Accuracy,High,Negative,Scheduling AI,0,2026-01-16
4261,Feature Request,Medium,Positive,Meal Recommendation AI,0,2025-11-15
2148,AI Accuracy,Low,Negative,Meal Recommendation AI,0,2025-08-27
2715,UX Issue,High,Negative,Grocery List AI,1,2025-09-07
5777,AI Accuracy,Low,Neutral,Grocery List AI,1,2025-10-19
5933,Bug,High,Negative,Meal Recommendation AI,1,2025-09-03
4854,AI Accuracy,Low,Positive,Scheduling AI,1,2025-10-15
3491,UX Issue,Medium,Positive,Scheduling AI,0,2026-01-19
3660,Bug,Low,Neutral,Scheduling AI,1,2025-08-13
4124,Feature Request,Medium,Negative,Scheduling AI,1,2025-09-09
4051,AI Accuracy,High,Negative,Meal Recommendation AI,0,2025-08-11
1004,Feature Request,High,Positive,Grocery List AI,0,2025-08-21
5869,UX Issue,Low,Negative,Grocery List AI,1,2025-10-02
1876,UX Issue,Low,Positive,Scheduling AI,0,2026-02-02
1991,AI Accuracy,High,Positive,Meal Recommendation AI,1,2026-01-19
5142,AI Accuracy,High,Positive,Meal Recommendation AI,0,2025-12-17
5364,Feature Request,Low,Negative,Scheduling AI,0,2025-10-06
5465,UX Issue,Medium,Negative,Scheduling AI,1,2025-11-07
1635,UX Issue,Low,Negative,Scheduling AI,1,2025-11-10
2693,Feature Request,High,Negative,Grocery List AI,0,2026-01-30
2682,Feature Request,Low,Positive,Scheduling AI,1,2025-09-02
5752,AI Accuracy,Low,Neutral,Grocery List AI,0,2025-12-12
1119,UX Issue,High,Neutral,Meal Recommendation AI,0,2025-08-16
1830,AI Accuracy,Low,Neutral,Meal Recommendation AI,1,2025-09-11
4675,Feature Request,Medium,Positive,Grocery List AI,0,2025-10-26
2369,Feature Request,Medium,Negative,Grocery List AI,0,2026-01-07
1740,Bug,Low,Neutral,Grocery List AI,0,2025-09-07
1116,AI Accuracy,Low,Negative,Grocery List AI,1,2025-10-17
3838,AI Accuracy,Medium,Neutral,Scheduling AI,0,2025-08-29
2150,AI Accuracy,Low,Positive,Meal Recommendation AI,1,2026-01-26
2931,AI Accuracy,Medium,Negative,Scheduling AI,1,2025-11-06
2012,AI Accuracy,High,Positive,Grocery List AI,0,2025-08-12
2664,Bug,High,Negative,Scheduling AI,1,2026-01-07
2081,AI Accuracy,Low,Negative,Scheduling AI,1,2025-12-22
5729,AI Accuracy,Low,Positive,Meal Recommendation AI,0,2025-12-16
1512,Feature Request,Low,Negative,Scheduling AI,0,2025-10-27
3849,UX Issue,Low,Neutral,Meal Recommendation AI,0,2025-09-30
1559,Feature Request,Medium,Positive,Grocery List AI,1,2026-01-25
4672,AI Accuracy,High,Negative,Scheduling AI,1,2025-11-15
5583,UX Issue,Low,Neutral,Grocery List AI,0,2025-09-30
5992,AI Accuracy,Low,Negative,Meal Recommendation AI,0,2026-01-30
4343,AI Accuracy,Low,Negative,Grocery List AI,0,2025-11-30
5070,Bug,High,Negative,Grocery List AI,1,2025-12-05
5799,AI Accuracy,Low,Neutral,Meal Recommendation AI,0,2025-09-25
2470,UX Issue,Medium,Neutral,Grocery List AI,1,2025-09-21
1580,UX Issue,Low,Negative,Grocery List AI,0,2026-01-08
3294,AI Accuracy,High,Positive,Grocery List AI,1,2025-12-29
4147,Bug,High,Neutral,Scheduling AI,0,2025-12-24
5249,AI Accuracy,Low,Neutral,Grocery List AI,1,2025-10-11
2679,Feature Request,Low,Positive,Meal Recommendation AI,0,2025-09-09
4506,Bug,Medium,Neutral,Scheduling AI,1,2025-12-21
3744,UX Issue,Low,Negative,Scheduling AI,0,2025-08-23
4356,Bug,High,Negative,Meal Recommendation AI,0,2025-12-18
5045,AI Accuracy,High,Positive,Grocery List AI,0,2025-12-28
2243,UX Issue,High,Positive,Scheduling AI,1,2025-11-26
4118,AI Accuracy,High,Neutral,Scheduling AI,0,2025-10-01
3141,Feature Request,Low,Negative,Scheduling AI,0,2025-08-31
4059,Bug,Low,Positive,Grocery List AI,1,2025-09-09
